date,opening,high,low,closing,volume
2025/05/16,270.00000,273.00000,270.00000,271.00000,33900.00000
2025/05/15,270.00000,272.00000,269.00000,270.00000,19000.00000
2025/05/14,270.00000,271.00000,269.00000,269.00000,28800.00000
2025/05/13,271.00000,272.00000,269.00000,269.00000,58700.00000
2025/05/12,273.00000,273.00000,271.00000,271.00000,42100.00000
2025/05/09,272.00000,274.00000,271.00000,271.00000,25300.00000
2025/05/08,271.00000,273.00000,271.00000,272.00000,26400.00000
2025/05/07,271.00000,273.00000,271.00000,271.00000,40100.00000
2025/05/02,272.00000,272.00000,270.00000,271.00000,35100.00000
2025/05/01,270.00000,272.00000,270.00000,270.00000,24400.00000
2025/04/30,268.00000,270.00000,268.00000,269.00000,27900.00000
2025/04/28,269.00000,271.00000,269.00000,269.00000,77700.00000
2025/04/25,270.00000,270.00000,267.00000,268.00000,60600.00000
2025/04/24,267.00000,268.00000,266.00000,267.00000,25200.00000
2025/04/23,267.00000,267.00000,265.00000,266.00000,40800.00000
2025/04/22,266.00000,269.00000,266.00000,266.00000,31700.00000
2025/04/21,267.00000,269.00000,266.00000,266.00000,23600.00000
2025/04/18,265.00000,268.00000,265.00000,266.00000,61900.00000
2025/04/17,264.00000,265.00000,263.00000,264.00000,29700.00000
2025/04/16,265.00000,265.00000,263.00000,263.00000,15100.00000
2025/04/15,263.00000,265.00000,262.00000,263.00000,50600.00000
2025/04/14,265.00000,267.00000,265.00000,265.00000,56200.00000
2025/04/11,260.00000,266.00000,258.00000,265.00000,70400.00000
2025/04/10,263.00000,265.00000,260.00000,265.00000,103100.00000
2025/04/09,259.00000,260.00000,253.00000,257.00000,114700.00000
2025/04/08,254.00000,261.00000,253.00000,259.00000,136700.00000
2025/04/07,248.00000,250.00000,238.00000,246.00000,429900.00000
2025/04/04,257.00000,258.00000,251.00000,256.00000,279900.00000
2025/04/03,260.00000,263.00000,257.00000,260.00000,238700.00000
2025/03/19,280.00000,280.00000,279.00000,280.00000,61000.00000
2025/03/18,280.00000,280.00000,279.00000,279.00000,79800.00000
2025/03/17,281.00000,281.00000,279.00000,280.00000,196700.00000
2025/03/14,282.00000,282.00000,281.00000,281.00000,41600.00000
2025/03/13,283.00000,283.00000,281.00000,282.00000,37900.00000
2025/03/12,282.00000,283.00000,281.00000,281.00000,47000.00000
2025/03/11,283.00000,283.00000,280.00000,281.00000,110000.00000
2025/03/10,285.00000,285.00000,282.00000,283.00000,77200.00000
2025/03/07,284.00000,285.00000,283.00000,284.00000,63100.00000
2025/03/06,285.00000,285.00000,283.00000,284.00000,38400.00000
2025/03/05,284.00000,286.00000,282.00000,284.00000,68700.00000
2025/03/04,284.00000,285.00000,282.00000,284.00000,81300.00000
2025/03/03,286.00000,286.00000,283.00000,284.00000,100300.00000
2025/02/28,286.00000,286.00000,283.00000,286.00000,69300.00000
2025/02/27,283.00000,286.00000,282.00000,286.00000,81300.00000
2025/02/26,281.00000,282.00000,280.00000,280.00000,52100.00000
2025/02/25,280.00000,282.00000,280.00000,280.00000,67700.00000
2025/02/21,281.00000,282.00000,278.00000,282.00000,104700.00000
2025/02/20,282.00000,283.00000,281.00000,281.00000,32700.00000
2025/02/19,283.00000,284.00000,281.00000,281.00000,55400.00000
2025/02/18,285.00000,285.00000,282.00000,282.00000,52600.00000
2025/02/17,281.00000,285.00000,281.00000,285.00000,65100.00000
2025/02/14,284.00000,284.00000,281.00000,281.00000,69300.00000
2025/02/13,283.00000,284.00000,282.00000,283.00000,60300.00000
2025/02/12,283.00000,284.00000,282.00000,282.00000,57500.00000
2025/02/10,281.00000,285.00000,280.00000,283.00000,112700.00000
2025/02/07,277.00000,280.00000,276.00000,277.00000,73100.00000
2025/02/06,276.00000,278.00000,275.00000,278.00000,55300.00000
2025/02/05,277.00000,278.00000,274.00000,276.00000,103600.00000
2025/02/04,279.00000,279.00000,276.00000,276.00000,77300.00000
2025/02/03,279.00000,279.00000,275.00000,276.00000,79200.00000
2025/01/31,278.00000,280.00000,276.00000,277.00000,78800.00000
