date,opening,high,low,closing,volume
2025/05/16,351.00000,396.00000,350.00000,390.00000,2125600.00000
2025/05/15,330.00000,338.00000,317.00000,331.00000,617200.00000
2025/05/14,329.00000,335.00000,326.00000,331.00000,134400.00000
2025/05/13,327.00000,335.00000,326.00000,327.00000,192500.00000
2025/05/12,319.00000,321.00000,313.00000,319.00000,110900.00000
2025/05/09,310.00000,322.00000,309.00000,319.00000,126700.00000
2025/05/08,320.00000,320.00000,306.00000,311.00000,173000.00000
2025/05/07,328.00000,328.00000,316.00000,321.00000,114800.00000
2025/05/02,326.00000,328.00000,320.00000,325.00000,82700.00000
2025/05/01,331.00000,335.00000,322.00000,327.00000,119800.00000
2025/04/30,324.00000,333.00000,319.00000,331.00000,217000.00000
2025/04/28,324.00000,331.00000,313.00000,319.00000,429000.00000
2025/04/25,328.00000,336.00000,323.00000,324.00000,149800.00000
2025/04/24,333.00000,341.00000,321.00000,328.00000,377900.00000
2025/04/23,340.00000,340.00000,330.00000,333.00000,189400.00000
2025/04/22,334.00000,339.00000,331.00000,334.00000,228900.00000
2025/04/21,327.00000,339.00000,325.00000,339.00000,385200.00000
2025/04/18,308.00000,325.00000,308.00000,325.00000,268900.00000
2025/04/17,309.00000,316.00000,306.00000,307.00000,219100.00000
2025/04/16,312.00000,315.00000,304.00000,309.00000,216300.00000
2025/04/15,313.00000,324.00000,312.00000,314.00000,184800.00000
2025/04/14,312.00000,318.00000,308.00000,313.00000,293500.00000
2025/04/11,275.00000,309.00000,273.00000,309.00000,366600.00000
2025/04/10,286.00000,286.00000,272.00000,281.00000,222800.00000
2025/04/09,268.00000,268.00000,250.00000,258.00000,217100.00000
2025/04/08,251.00000,274.00000,251.00000,268.00000,336900.00000
2025/04/07,229.00000,249.00000,226.00000,237.00000,901400.00000
2025/04/04,291.00000,293.00000,259.00000,269.00000,678300.00000
2025/04/03,290.00000,306.00000,280.00000,299.00000,422200.00000
2025/03/18,273.00000,276.00000,271.00000,274.00000,166900.00000
2025/03/17,276.00000,276.00000,268.00000,270.00000,173700.00000
2025/03/14,271.00000,272.00000,264.00000,270.00000,222000.00000
2025/03/13,273.00000,289.00000,270.00000,275.00000,494000.00000
2025/03/12,272.00000,291.00000,270.00000,272.00000,618800.00000
2025/03/11,268.00000,274.00000,264.00000,272.00000,510800.00000
2025/03/10,256.00000,276.00000,252.00000,274.00000,715900.00000
2025/03/07,256.00000,257.00000,250.00000,251.00000,129600.00000
2025/03/06,265.00000,266.00000,254.00000,258.00000,261000.00000
2025/03/05,249.00000,267.00000,247.00000,260.00000,402800.00000
2025/03/04,250.00000,250.00000,243.00000,248.00000,109500.00000
2025/03/03,250.00000,254.00000,245.00000,250.00000,133700.00000
2025/02/28,244.00000,250.00000,242.00000,249.00000,177300.00000
2025/02/27,249.00000,254.00000,247.00000,252.00000,130500.00000
2025/02/26,250.00000,254.00000,241.00000,250.00000,178300.00000
2025/02/25,251.00000,257.00000,248.00000,250.00000,163300.00000
2025/02/21,256.00000,262.00000,252.00000,255.00000,221500.00000
2025/02/20,259.00000,265.00000,256.00000,259.00000,209400.00000
2025/02/19,260.00000,267.00000,254.00000,261.00000,309900.00000
2025/02/18,265.00000,268.00000,256.00000,268.00000,408500.00000
2025/02/17,238.00000,261.00000,238.00000,258.00000,639600.00000
2025/02/14,246.00000,246.00000,237.00000,237.00000,268800.00000
2025/02/13,241.00000,248.00000,235.00000,245.00000,311600.00000
2025/02/12,234.00000,240.00000,232.00000,238.00000,275100.00000
2025/02/10,229.00000,234.00000,224.00000,233.00000,139100.00000
2025/02/07,232.00000,235.00000,227.00000,227.00000,240100.00000
2025/02/06,223.00000,231.00000,223.00000,230.00000,103000.00000
2025/02/05,221.00000,229.00000,221.00000,225.00000,122600.00000
2025/02/04,224.00000,228.00000,222.00000,222.00000,103600.00000
2025/02/03,230.00000,230.00000,220.00000,224.00000,267300.00000
2025/01/31,231.00000,237.00000,228.00000,232.00000,180500.00000
2025/01/30,235.00000,235.00000,227.00000,229.00000,192700.00000
2025/01/29,240.00000,243.00000,234.00000,235.00000,258900.00000
2025/01/28,229.00000,237.00000,227.00000,236.00000,214900.00000
2025/01/27,234.00000,236.00000,226.00000,226.00000,235800.00000
2025/01/24,222.00000,234.00000,220.00000,234.00000,280400.00000
2025/01/23,220.00000,222.00000,215.00000,220.00000,98500.00000
2025/01/22,214.00000,221.00000,214.00000,218.00000,151700.00000
2025/01/21,214.00000,215.00000,210.00000,212.00000,96600.00000
2025/01/20,213.00000,217.00000,211.00000,213.00000,171700.00000
2025/01/17,214.00000,217.00000,210.00000,217.00000,185900.00000
2025/01/16,228.00000,231.00000,211.00000,217.00000,429000.00000
2025/01/15,229.00000,233.00000,223.00000,224.00000,203000.00000
2025/01/14,240.00000,240.00000,227.00000,231.00000,427700.00000
2025/01/10,247.00000,251.00000,241.00000,244.00000,697200.00000
2025/01/09,223.00000,248.00000,221.00000,246.00000,799400.00000
2025/01/08,234.00000,238.00000,221.00000,222.00000,417200.00000
2025/01/07,238.00000,238.00000,230.00000,236.00000,415500.00000
2025/01/06,240.00000,243.00000,228.00000,239.00000,872500.00000
2024/12/30,219.00000,230.00000,217.00000,227.00000,470700.00000
2024/12/27,208.00000,218.00000,204.00000,218.00000,338300.00000
2024/12/26,203.00000,210.00000,199.00000,203.00000,317600.00000
2024/12/25,197.00000,207.00000,197.00000,206.00000,401200.00000
2024/12/24,205.00000,205.00000,197.00000,199.00000,361500.00000
2024/12/23,215.00000,215.00000,202.00000,206.00000,1261700.00000
2024/12/20,201.00000,236.00000,200.00000,216.00000,3101600.00000
2024/12/19,198.00000,200.00000,195.00000,200.00000,112800.00000
2024/12/18,196.00000,202.00000,195.00000,199.00000,163700.00000
2024/12/17,187.00000,200.00000,187.00000,196.00000,259800.00000
2024/12/16,190.00000,191.00000,187.00000,188.00000,118000.00000
2024/12/13,185.00000,191.00000,185.00000,190.00000,137200.00000
2024/12/12,190.00000,191.00000,187.00000,187.00000,124300.00000
2024/12/11,192.00000,193.00000,188.00000,188.00000,102100.00000
2024/12/10,195.00000,195.00000,189.00000,192.00000,155200.00000
2024/12/09,187.00000,201.00000,187.00000,196.00000,382100.00000
2024/12/06,189.00000,190.00000,185.00000,185.00000,235600.00000
2024/12/05,192.00000,193.00000,190.00000,190.00000,106300.00000
2024/12/04,199.00000,199.00000,191.00000,192.00000,266400.00000
2024/12/03,199.00000,203.00000,198.00000,199.00000,156300.00000
2024/12/02,200.00000,203.00000,196.00000,198.00000,245600.00000
2024/11/29,201.00000,201.00000,198.00000,198.00000,242900.00000
2024/11/28,201.00000,205.00000,199.00000,199.00000,200200.00000
2024/11/27,207.00000,207.00000,197.00000,200.00000,203400.00000
2024/11/26,205.00000,205.00000,198.00000,204.00000,329900.00000
2024/11/25,207.00000,209.00000,201.00000,203.00000,292100.00000
2024/11/22,213.00000,213.00000,203.00000,206.00000,217300.00000
2024/11/21,213.00000,215.00000,209.00000,211.00000,100600.00000
2024/11/20,219.00000,223.00000,213.00000,213.00000,117700.00000
2024/11/19,210.00000,222.00000,210.00000,218.00000,231000.00000
2024/11/18,203.00000,218.00000,199.00000,210.00000,204800.00000
2024/11/15,205.00000,217.00000,204.00000,205.00000,248000.00000
2024/11/14,211.00000,213.00000,208.00000,213.00000,227800.00000
2024/11/13,209.00000,215.00000,208.00000,211.00000,166300.00000
2024/11/12,213.00000,215.00000,210.00000,212.00000,74500.00000
2024/11/11,211.00000,214.00000,209.00000,213.00000,53200.00000
2024/11/08,215.00000,219.00000,213.00000,214.00000,64300.00000
2024/11/07,218.00000,221.00000,214.00000,216.00000,105500.00000
2024/11/06,213.00000,218.00000,212.00000,218.00000,73600.00000
2024/11/05,217.00000,218.00000,213.00000,213.00000,52800.00000
2024/11/01,216.00000,221.00000,216.00000,217.00000,93200.00000
2024/10/31,216.00000,222.00000,215.00000,222.00000,65500.00000
2024/10/30,218.00000,218.00000,212.00000,218.00000,107800.00000
2024/10/29,215.00000,218.00000,213.00000,216.00000,100900.00000
