date,opening,high,low,closing,volume
2025/03/19,442.00000,442.00000,437.00000,438.00000,44800.00000
2025/03/18,441.00000,445.00000,436.00000,442.00000,80400.00000
2025/03/17,437.00000,440.00000,431.00000,440.00000,64900.00000
2025/03/14,427.00000,434.00000,426.00000,434.00000,99100.00000
2025/03/13,428.00000,430.00000,424.00000,426.00000,59700.00000
2025/03/12,424.00000,426.00000,422.00000,426.00000,31000.00000
2025/03/11,422.00000,427.00000,411.00000,427.00000,158900.00000
2025/03/10,424.00000,428.00000,422.00000,425.00000,49600.00000
2025/03/07,429.00000,429.00000,419.00000,424.00000,93600.00000
2025/03/06,430.00000,432.00000,423.00000,430.00000,62400.00000
2025/03/05,430.00000,434.00000,427.00000,428.00000,59900.00000
2025/03/04,432.00000,436.00000,427.00000,431.00000,99700.00000
2025/03/03,434.00000,435.00000,428.00000,433.00000,98600.00000
2025/02/28,423.00000,427.00000,419.00000,420.00000,55000.00000
2025/02/27,421.00000,427.00000,421.00000,423.00000,53900.00000
2025/02/26,421.00000,426.00000,416.00000,421.00000,80600.00000
2025/02/25,430.00000,432.00000,421.00000,422.00000,74700.00000
2025/02/21,431.00000,435.00000,425.00000,431.00000,142600.00000
2025/02/20,443.00000,448.00000,431.00000,436.00000,234500.00000
2025/02/19,428.00000,443.00000,428.00000,442.00000,208800.00000
2025/02/18,428.00000,433.00000,425.00000,428.00000,193700.00000
2025/02/17,410.00000,433.00000,410.00000,431.00000,828800.00000
2025/02/14,379.00000,380.00000,373.00000,373.00000,130700.00000
2025/02/13,379.00000,382.00000,378.00000,382.00000,104900.00000
2025/02/12,374.00000,380.00000,374.00000,376.00000,108400.00000
2025/02/10,371.00000,378.00000,371.00000,371.00000,133000.00000
2025/02/07,371.00000,373.00000,369.00000,370.00000,69800.00000
2025/02/06,366.00000,376.00000,366.00000,373.00000,144000.00000
2025/02/05,362.00000,366.00000,362.00000,365.00000,62300.00000
2025/02/04,362.00000,363.00000,358.00000,362.00000,59900.00000
2025/02/03,361.00000,361.00000,359.00000,361.00000,63900.00000
2025/01/31,364.00000,364.00000,359.00000,362.00000,158500.00000
2025/01/30,373.00000,373.00000,361.00000,361.00000,465900.00000
2025/01/29,373.00000,377.00000,373.00000,376.00000,48700.00000
2025/01/28,371.00000,374.00000,369.00000,371.00000,51900.00000
2025/01/27,374.00000,379.00000,373.00000,375.00000,95400.00000
2025/01/24,372.00000,375.00000,370.00000,372.00000,60200.00000
2025/01/23,372.00000,375.00000,370.00000,371.00000,52900.00000
2025/01/22,365.00000,372.00000,365.00000,372.00000,101200.00000
2025/01/21,365.00000,365.00000,361.00000,363.00000,45200.00000
2025/01/20,360.00000,364.00000,359.00000,364.00000,64000.00000
2025/01/17,356.00000,360.00000,354.00000,357.00000,73100.00000
2025/01/16,368.00000,368.00000,357.00000,359.00000,135700.00000
2025/01/15,367.00000,368.00000,363.00000,367.00000,66400.00000
2025/01/14,370.00000,370.00000,363.00000,364.00000,86800.00000
2025/01/10,371.00000,373.00000,370.00000,372.00000,35000.00000
2025/01/09,377.00000,384.00000,369.00000,369.00000,150500.00000
2025/01/08,371.00000,373.00000,368.00000,369.00000,61600.00000
2025/01/07,374.00000,375.00000,370.00000,372.00000,44300.00000
2025/01/06,374.00000,374.00000,370.00000,370.00000,58300.00000
2024/12/30,370.00000,376.00000,370.00000,372.00000,87100.00000
2024/12/27,364.00000,371.00000,364.00000,369.00000,105700.00000
2024/12/26,359.00000,365.00000,359.00000,362.00000,74900.00000
2024/12/25,359.00000,362.00000,359.00000,359.00000,102400.00000
2024/12/24,357.00000,358.00000,355.00000,356.00000,79100.00000
2024/12/23,357.00000,357.00000,353.00000,356.00000,187900.00000
2024/12/20,353.00000,358.00000,350.00000,352.00000,171000.00000
2024/12/19,347.00000,353.00000,345.00000,351.00000,146700.00000
2024/12/18,351.00000,354.00000,349.00000,350.00000,67300.00000
2024/12/17,352.00000,353.00000,349.00000,351.00000,69700.00000
2024/12/16,356.00000,357.00000,352.00000,352.00000,121500.00000
2024/12/13,359.00000,359.00000,356.00000,357.00000,65400.00000
2024/12/12,366.00000,366.00000,360.00000,360.00000,49600.00000
2024/12/11,367.00000,367.00000,362.00000,363.00000,62700.00000
2024/12/10,367.00000,371.00000,367.00000,367.00000,59000.00000
2024/12/09,365.00000,368.00000,365.00000,368.00000,50900.00000
2024/12/06,367.00000,368.00000,364.00000,365.00000,70700.00000
2024/12/05,365.00000,367.00000,364.00000,364.00000,38900.00000
2024/12/04,366.00000,367.00000,363.00000,363.00000,58500.00000
2024/12/03,367.00000,370.00000,365.00000,367.00000,86600.00000
2024/12/02,370.00000,372.00000,365.00000,366.00000,138100.00000
2024/11/29,372.00000,372.00000,367.00000,369.00000,74500.00000
2024/11/28,365.00000,374.00000,365.00000,370.00000,102400.00000
2024/11/27,366.00000,367.00000,363.00000,363.00000,54000.00000
2024/11/26,372.00000,372.00000,365.00000,365.00000,56000.00000
2024/11/25,375.00000,377.00000,370.00000,372.00000,71300.00000
2024/11/22,371.00000,374.00000,370.00000,373.00000,46900.00000
2024/11/21,370.00000,373.00000,366.00000,367.00000,91800.00000
2024/11/20,365.00000,372.00000,365.00000,369.00000,69500.00000
2024/11/19,366.00000,370.00000,364.00000,365.00000,80200.00000
2024/11/18,359.00000,366.00000,354.00000,364.00000,97400.00000
2024/11/15,365.00000,365.00000,356.00000,358.00000,309400.00000
2024/11/14,378.00000,382.00000,377.00000,378.00000,79200.00000
2024/11/13,383.00000,387.00000,378.00000,381.00000,92800.00000
2024/11/12,383.00000,391.00000,380.00000,384.00000,164800.00000
2024/11/11,378.00000,382.00000,374.00000,379.00000,54700.00000
2024/11/08,381.00000,382.00000,374.00000,376.00000,75400.00000
2024/11/07,377.00000,385.00000,377.00000,381.00000,82500.00000
2024/11/06,372.00000,377.00000,371.00000,374.00000,48900.00000
2024/11/05,370.00000,375.00000,369.00000,373.00000,86200.00000
2024/11/01,367.00000,369.00000,364.00000,368.00000,66000.00000
2024/10/31,364.00000,373.00000,362.00000,372.00000,64800.00000
2024/10/30,365.00000,365.00000,360.00000,361.00000,222900.00000
2024/10/29,364.00000,367.00000,363.00000,365.00000,77100.00000
2024/10/28,349.00000,361.00000,349.00000,359.00000,73200.00000
2024/10/25,360.00000,360.00000,350.00000,353.00000,114700.00000
2024/10/24,359.00000,363.00000,354.00000,360.00000,76300.00000
2024/10/23,366.00000,366.00000,360.00000,361.00000,63300.00000
2024/10/22,374.00000,374.00000,366.00000,366.00000,65500.00000
2024/10/21,372.00000,375.00000,370.00000,373.00000,46300.00000
2024/10/18,374.00000,375.00000,370.00000,371.00000,59700.00000
2024/10/17,379.00000,379.00000,373.00000,376.00000,74700.00000
2024/10/16,380.00000,382.00000,377.00000,379.00000,64300.00000
2024/10/15,382.00000,385.00000,379.00000,384.00000,84200.00000
2024/10/11,380.00000,382.00000,378.00000,378.00000,34800.00000
2024/10/10,381.00000,383.00000,377.00000,383.00000,81600.00000
2024/10/09,386.00000,387.00000,380.00000,383.00000,65000.00000
2024/10/08,391.00000,392.00000,381.00000,383.00000,85200.00000
2024/10/07,400.00000,400.00000,392.00000,392.00000,78000.00000
2024/10/04,390.00000,396.00000,388.00000,394.00000,126300.00000
2024/10/03,386.00000,394.00000,386.00000,390.00000,103800.00000
2024/10/02,382.00000,383.00000,377.00000,381.00000,66900.00000
2024/10/01,380.00000,388.00000,380.00000,387.00000,35400.00000
