date,opening,high,low,closing,volume
2025/03/18,370.70000,371.50000,366.60000,367.30000,6388800.00000
2025/03/17,367.50000,370.30000,366.60000,367.60000,6135900.00000
2025/03/14,362.80000,367.80000,361.60000,365.00000,6877400.00000
2025/03/13,364.20000,368.50000,361.20000,363.60000,8121300.00000
2025/03/12,363.70000,368.80000,361.40000,362.50000,7381000.00000
2025/03/11,365.10000,367.30000,358.10000,364.00000,11770300.00000
2025/03/10,370.00000,371.20000,365.10000,368.30000,8106800.00000
2025/03/07,364.10000,373.10000,362.30000,371.40000,17949600.00000
2025/03/06,352.00000,360.60000,349.50000,359.20000,12140100.00000
2025/03/05,355.80000,361.90000,346.30000,347.00000,16695700.00000
2025/03/04,359.00000,370.00000,352.40000,353.50000,24006200.00000
2025/03/03,353.80000,364.00000,353.70000,360.10000,11699600.00000
2025/02/28,354.20000,357.60000,351.20000,352.70000,12671600.00000
2025/02/27,346.70000,355.40000,346.40000,354.60000,8926300.00000
2025/02/26,344.30000,346.90000,342.60000,346.90000,5519600.00000
2025/02/25,346.80000,346.80000,343.50000,344.70000,5242900.00000
2025/02/21,345.00000,349.80000,344.80000,347.40000,7071300.00000
2025/02/20,350.20000,352.80000,344.10000,344.10000,9331600.00000
2025/02/19,348.00000,358.30000,347.10000,353.50000,13146700.00000
2025/02/18,340.40000,349.80000,339.30000,344.80000,12068800.00000
2025/02/17,338.00000,341.20000,336.70000,336.80000,6285100.00000
2025/02/14,341.00000,342.80000,337.10000,337.50000,6679200.00000
2025/02/13,338.40000,341.10000,338.20000,340.10000,6954600.00000
2025/02/12,341.60000,342.80000,335.80000,338.40000,7509900.00000
2025/02/10,337.10000,340.90000,335.80000,339.50000,5489900.00000
2025/02/07,340.00000,341.50000,336.50000,337.40000,9390000.00000
2025/02/06,344.50000,345.40000,338.80000,340.30000,9818700.00000
2025/02/05,341.30000,350.50000,340.60000,344.40000,13529000.00000
2025/02/04,342.70000,359.50000,340.00000,340.90000,27567800.00000
2025/02/03,350.20000,357.20000,326.70000,326.70000,43445700.00000
2025/01/31,334.90000,336.40000,333.90000,336.20000,6820400.00000
2025/01/30,333.30000,336.50000,332.70000,334.90000,6951100.00000
2025/01/29,335.20000,336.10000,334.00000,334.90000,7100700.00000
2025/01/28,339.00000,339.00000,333.30000,335.20000,9859600.00000
2025/01/27,344.90000,345.10000,338.50000,338.90000,6595700.00000
2025/01/24,338.80000,345.40000,337.10000,341.60000,10375700.00000
2025/01/23,338.00000,338.00000,334.20000,335.20000,6847300.00000
2025/01/22,338.20000,339.20000,334.80000,336.50000,7861700.00000
